,accept,reward,m_type,income,accounts,overdraft,rating,cards,homes,family,Owner,balance
0,No,Air Miles,Letter,2,1,No,2,2,2,5,Yes,366.0
1,No,Air Miles,Postcard,3,2,No,2,2,1,2,Yes,242.0
2,No,Air Miles,Letter,2,2,No,3,1,1,4,No,419.0
3,No,Air Miles,Letter,2,1,No,2,2,1,5,Yes,365.0
4,No,Air Miles,Letter,2,1,No,3,3,1,4,No,497.0
5,No,Air Miles,Letter,2,1,No,2,2,1,3,No,132.0
6,No,Cash Back,Postcard,1,1,No,2,3,1,4,Yes,306.0
7,No,Air Miles,Postcard,2,1,No,1,2,1,4,Yes,1353.0
8,No,Air Miles,Letter,3,2,No,1,3,2,4,Yes,115.0
9,No,Air Miles,Postcard,2,1,No,2,3,1,2,Yes,1498.0
10,No,Cash Back,Postcard,3,1,No,2,3,2,5,Yes,1785.0
11,No,Points,Letter,2,1,No,1,1,1,2,Yes,475.0
12,No,Points,Letter,1,1,No,3,1,1,3,No,736.0
13,No,Air Miles,Letter,1,2,No,3,3,1,3,Yes,479.0
14,No,Cash Back,Letter,3,1,No,1,2,1,2,No,135.0
15,No,Points,Postcard,1,2,No,2,1,1,4,Yes,2174.0
16,No,Air Miles,Postcard,1,2,No,3,2,1,4,Yes,904.0
17,No,Points,Postcard,2,1,No,1,1,1,4,No,395.0
18,No,Cash Back,Letter,2,1,No,3,2,1,5,Yes,1665.0
19,No,Points,Postcard,1,1,No,3,2,1,4,Yes,942.0
20,No,Points,Letter,2,1,No,1,2,2,3,Yes,896.0
21,No,Cash Back,Letter,3,1,No,3,1,1,3,Yes,1916.0
22,No,Air Miles,Postcard,3,1,No,3,3,1,5,No,747.0
23,No,Cash Back,Letter,1,1,No,1,2,1,4,Yes,545.0
24,No,Cash Back,Postcard,2,1,Yes,3,3,2,5,Yes,572.0
25,No,Air Miles,Postcard,1,2,No,1,3,2,1,Yes,1273.0
26,Yes,Air Miles,Letter,2,1,No,1,1,1,2,No,1305.0
27,No,Cash Back,Postcard,2,1,Yes,1,1,1,3,Yes,629.0
28,No,Points,Postcard,3,1,No,2,1,1,1,Yes,588.0
29,No,Points,Letter,2,1,No,3,2,1,3,No,432.0
30,No,Cash Back,Postcard,1,2,No,1,1,1,5,Yes,910.0
31,No,Points,Postcard,1,1,No,3,2,2,4,No,1242.0
32,No,Air Miles,Postcard,1,2,No,2,1,1,4,Yes,551.0
33,No,Air Miles,Letter,2,1,No,1,2,1,2,No,508.0
34,No,Points,Letter,3,1,No,3,2,1,4,Yes,867.0
35,No,Air Miles,Postcard,2,2,No,2,2,2,2,Yes,890.0
36,No,Air Miles,Postcard,2,1,No,2,2,1,4,No,459.0
37,No,Air Miles,Postcard,3,1,No,1,1,2,5,No,1890.0
38,No,Air Miles,Postcard,1,1,Yes,2,2,1,3,Yes,700.0
39,No,Air Miles,Letter,1,1,Yes,3,1,1,3,Yes,1045.0
40,No,Air Miles,Letter,3,1,No,2,3,1,3,Yes,227.0
41,No,Cash Back,Postcard,2,1,No,2,1,1,4,No,783.0
42,No,Air Miles,Letter,3,2,No,2,3,1,3,Yes,958.0
43,No,Points,Postcard,2,1,No,1,2,1,2,No,944.0
44,Yes,Air Miles,Postcard,3,1,Yes,1,2,1,5,Yes,988.0
45,No,Air Miles,Letter,2,1,No,2,2,1,5,Yes,1178.0
