,accept,balance,income,accounts,rating,cards,homes,family,reward_Cash Back,reward_Points,m_type_Postcard,overdraft_Yes,owner_Yes
0,No,0.3814432989690722,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0
1,No,0.4542330521711965,0.5,1.0,0.5,0.5,0.0,0.75,1.0,0.0,1.0,0.0,1.0
2,No,0.4514214308028741,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3,No,0.4198687910028116,0.5,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
4,No,0.10652920962199312,0.0,1.0,1.0,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
5,No,0.19119025304592316,0.5,0.0,1.0,0.5,0.0,0.75,1.0,0.0,1.0,0.0,1.0
6,No,0.6369884411121525,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
7,No,0.046860356138706656,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
8,No,0.12808497344579817,0.5,0.0,1.0,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
9,No,0.5673227116526085,0.5,0.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0
10,No,0.39175257731958757,0.5,0.0,1.0,0.5,0.0,0.75,0.0,1.0,0.0,1.0,1.0
11,No,0.281786941580756,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0,0.0
12,No,0.6226179318962825,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
13,No,0.30303030303030304,0.5,0.0,1.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,1.0
14,No,0.15713839425179632,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
15,No,0.1521399562636676,0.5,1.0,1.0,0.5,1.0,0.75,0.0,1.0,0.0,0.0,1.0
16,No,0.04029990627928772,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0
17,No,0.21587004061230866,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0
18,No,0.3067791315213996,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0
19,No,0.42799125273352084,0.5,1.0,0.5,0.0,0.0,0.25,1.0,0.0,1.0,0.0,1.0
20,No,0.35613870665417063,0.5,0.0,0.5,0.0,0.0,0.75,0.0,1.0,1.0,0.0,1.0
21,No,0.34957825679475163,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0
22,No,0.13464542330521712,0.5,0.0,0.5,0.5,1.0,0.25,1.0,0.0,0.0,0.0,0.0
23,No,0.2646048109965636,0.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0
24,No,0.09278350515463918,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
25,No,0.08216182442986567,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
26,No,0.19306466729147137,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0
27,No,0.12402374258044362,0.0,0.0,0.5,0.5,0.0,0.75,0.0,1.0,0.0,0.0,1.0
28,No,0.31896282411746324,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0
29,No,0.23586379256482348,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
30,No,0.0909090909090909,0.5,1.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0
31,No,0.48078725398313027,1.0,0.0,1.0,0.5,0.0,0.25,0.0,1.0,0.0,0.0,0.0
32,No,0.21149640737269604,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,No,0.2830365510777882,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.0
34,No,0.5117150890346767,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,1.0,0.0,1.0
35,No,0.06747891283973757,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0
36,No,0.18025616994689161,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0
37,No,0.648234926585442,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0
38,No,0.2983442674164324,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
39,No,0.5379568884723523,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0
40,No,0.028116213683223992,0.5,0.0,0.0,0.5,0.0,0.25,1.0,0.0,0.0,1.0,1.0
41,No,0.015932521087160263,1.0,0.0,1.0,0.5,0.0,0.75,1.0,0.0,1.0,1.0,1.0
42,No,0.1358950328022493,0.5,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0,1.0
43,No,0.015932521087160263,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0
44,No,0.020306154326772883,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0
45,No,0.15745079662605435,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0
46,No,0.22180568572321147,1.0,1.0,0.5,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0
47,No,0.6676038737894407,1.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0
48,No,0.0802874101843174,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0
49,No,0.577631990003124,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
50,No,0.5095282724148704,1.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0
51,No,0.38394251796313655,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0
52,No,0.415807560137457,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0
53,No,0.5741955638862856,0.5,0.0,1.0,0.5,1.0,0.25,1.0,0.0,1.0,0.0,1.0
54,No,0.12027491408934707,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0
55,No,0.030303030303030304,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0
56,No,0.0909090909090909,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0
57,No,0.14964073726960325,0.5,0.0,1.0,0.5,1.0,0.25,0.0,1.0,0.0,1.0,1.0
58,No,0.21524523586379257,1.0,0.0,1.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
59,No,0.24523586379256482,0.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0
60,No,0.050921587004061235,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0
61,No,0.10434239300218681,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0
62,No,0.1927522649172134,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
63,No,0.07778819119025304,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0
64,No,0.18400499843798812,1.0,0.0,0.5,0.5,0.0,0.25,0.0,1.0,0.0,0.0,0.0
65,No,0.5385816932208685,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0
66,No,0.15463917525773196,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0
67,No,1.0,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0,0.0
68,No,0.32302405498281783,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0
69,No,0.42455482661668226,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
70,No,0.5476413620743518,0.5,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0
71,No,0.0993439550140581,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0
72,No,0.25710715401437045,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
73,No,0.014370509215870042,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
74,No,0.03342705404561075,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0
75,No,0.40362386754139334,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0
76,No,0.4326772883473915,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
77,No,0.00499843798812871,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
78,No,0.08403623867541393,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
79,No,0.30959075288972193,0.5,0.0,0.0,1.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0
80,No,0.09965635738831614,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
81,No,0.6191815057794439,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
82,No,0.06560449859418932,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0
83,No,0.02061855670103093,1.0,1.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,1.0,0.0
84,No,0.15651358950328023,1.0,0.0,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.0,1.0
85,No,0.4498594189315839,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0
86,No,0.1927522649172134,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
87,No,0.05404561074664168,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0
88,No,0.3786316776007498,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
89,No,0.4832864729771947,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
90,No,0.34739144017494533,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
91,No,0.21243361449547016,0.5,0.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0
92,No,0.3980006248047485,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0
93,No,0.17213370821618243,0.5,0.0,1.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0
94,No,0.016869728209934393,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
95,No,0.4926585442049359,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
96,No,0.45579506404248676,0.5,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0
97,No,0.17275851296469852,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
98,No,0.5060918462980319,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
99,No,0.21555763823805063,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
100,No,0.28584817244611055,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,1.0
101,No,0.2099343955014058,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0
102,No,0.05873164636051234,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0
103,No,0.2899094033114652,1.0,0.0,1.0,1.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0
104,No,0.11965010934083099,0.5,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0
105,No,0.10652920962199312,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0
106,No,0.008434864104967197,0.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0
107,No,0.06997813183380194,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
108,No,0.3527022805373321,0.5,0.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0
109,No,0.14120587316463604,0.5,0.0,1.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,1.0
110,No,0.06529209621993128,1.0,0.0,1.0,1.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0
111,No,0.5829428303655108,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
112,No,0.37050921587004065,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0
113,No,0.28334895345204625,0.5,0.0,1.0,0.5,1.0,0.25,1.0,0.0,0.0,0.0,1.0
114,No,0.5938769134645423,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
115,No,0.4545454545454546,0.5,0.0,0.5,1.0,1.0,0.25,0.0,0.0,1.0,0.0,1.0
116,No,0.24711027803811308,0.5,0.0,0.5,1.0,0.0,0.25,1.0,0.0,1.0,1.0,0.0
117,No,0.1752577319587629,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
118,No,0.408309903155264,1.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0
119,No,0.3755076538581693,1.0,0.0,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0
120,No,0.11715089034676664,1.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0
121,No,0.5510777881911902,0.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0
122,No,0.22524211184004997,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0
